Дата,Время,Логин,Образ,connectedDATA,connectedTIME,МинутОтConnected,,
03-12-20,12:45:55,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,10:36:27,129,trc-svn,
03-12-20,13:46:17,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,10:36:27,189,trc-svn,
03-12-20,13:57:09,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,10:36:27,200,trc-svn,
03-12-20,14:11:27,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,10:36:27,215,trc-svn,
03-12-20,14:27:01,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,10:36:27,230,trc-svn,
03-12-20,15:46:23,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,15:45:11,1,trc-svn,
03-12-20,16:09:41,ln.rosenergoatom.ru\trc-svn,ln-vdi-astra,03-12-20,15:45:11,24,trc-svn,
03-12-20,7:52:58,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,7:52:04,0,vsv,
03-12-20,7:53:39,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,7:52:04,1,vsv,
03-12-20,7:54:34,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,7:53:45,0,vsv,
03-12-20,8:04:51,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,7:53:45,11,vsv,
03-12-20,10:41:33,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,10:40:45,0,vsv,
03-12-20,11:10:31,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,10:40:45,29,vsv,
03-12-20,12:02:15,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,10:40:45,81,vsv,
03-12-20,12:56:17,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,10:40:45,135,vsv,
03-12-20,14:31:01,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,10:40:45,230,vsv,
03-12-20,14:48:40,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,0,vsv,
03-12-20,15:02:48,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,14,vsv,
03-12-20,15:41:40,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,53,vsv,
03-12-20,16:19:58,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,91,vsv,
03-12-20,16:54:32,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,126,vsv,
03-12-20,17:13:33,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,145,vsv,
03-12-20,18:06:20,ln.rosenergoatom.ru\vsv,ln-vdi-astra,03-12-20,14:48:05,198,vsv,
